patent_1_id,patent_2_id,patent_1_date,patent_2_date,patent_1_inventor,patent_2_inventor,is_same,LBP_top1,LBP_top2,LBP_top3,LBP_avg,LBP_std,LBP_worse,HOG_top1,HOG_top2,HOG_top3,HOG_avg,HOG_std,HOG_worse,SIFT_top1,SIFT_top2,SIFT_top3,SIFT_avg,SIFT_std,SIFT_worse,SSIM_top1,SSIM_top2,SSIM_top3,SSIM_avg,SSIM_std,SSIM_worse,BF_top1,BF_top2,BF_top3,BF_avg,BF_std,BF_worse,Num_Im_1,Num_Im_2
10470240,10447760,2019-11-05,2019-10-15,fl:su_ln:hong-238,fl:ky_ln:noh-7,0,0.992992916918668,0.992741313618042,0.9926750293368976,0.9734061666581836,0.0134004424712603,0.9258065313632108,0.58702314,0.58621615,0.58262324,0.2750699527658296,0.08956571,0.014992626,69,68,67,11.24865831842576,9.030205374864629,0,0.842618331064132,0.8358089422952968,0.8303388997528612,0.5604728531779635,0.1399570684783353,0.1704123140776191,9,8,8,0.1001788908765653,0.5881811236240743,0,86,13
11476982,11477784,2022-10-18,2022-10-18,fl:al_ln:ricoalvarino-2,fl:al_ln:ricoalvarino-2,1,0.9895878555968324,0.9894689499310564,0.9891010825406854,0.974055756248634,0.0138423312608419,0.917774360057296,0.42295548,0.4051129,0.3615882,0.1994956579421543,0.06963697,0.026633354,109,106,98,15.5625,16.76852986251329,0,0.7546974101091987,0.7526473678267072,0.7511685100916453,0.5648919132178367,0.1203692946127367,0.2312513243859172,116,104,104,3.6215277777777777,14.59900901885336,0,18,16
11476982,11477908,2022-10-18,2022-10-18,fl:al_ln:ricoalvarino-2,fl:wi_ln:leung-26,0,0.9890171032721572,0.9888981994567096,0.98722601436672,0.9665215277108922,0.0169953812683289,0.8988248459177074,0.449528,0.4337753,0.4329234,0.2210954214118559,0.086072765,0.02428268,87,73,66,10.773148148148149,12.526986472778008,0,0.7571854506756065,0.7550159264284396,0.7482909029658381,0.5004367047679543,0.1212663141434167,0.2028630132975145,16,15,13,0.6481481481481481,2.146551130495126,0,18,12
10405134,10405135,2019-09-03,2019-09-03,fl:wa_ln:patterson-8,fl:wa_ln:patterson-8,1,0.9906724505759744,0.9899944371364896,0.9891453827641744,0.9825380572524904,0.0039283393358794,0.9733386009415212,0.8518532,0.83763057,0.83395565,0.3147804259508848,0.17279878,0.083116196,420,265,240,37.18,67.15569670549178,0,0.7973105265992865,0.7689330841871136,0.7599184487753837,0.605562561845244,0.0953819797541119,0.3782690374146825,76,25,19,2.08,8.375774591045296,0,10,10
10405134,10463645,2019-09-03,2019-11-05,fl:wa_ln:patterson-8,fl:sh_ln:lin-50,0,0.99191869320504,0.9919162100856682,0.9915352211267016,0.9781745124091488,0.0142338605065155,0.938817368641054,0.42503002,0.41910636,0.40685526,0.1366131404824555,0.09517621,0.004645242,63,62,34,6.324,7.777597572515565,0,0.7965192007620444,0.7962606916544904,0.7906575569853026,0.6472960157672023,0.105544742744786,0.377851929259485,4,3,3,0.072,0.4035046468133916,0,10,25
10445832,11475520,2019-10-15,2022-10-18,fl:fr_ln:kmiec-1,fl:fr_ln:kmiec-1,1,0.994964047368686,0.9948150942912838,0.9946702723463374,0.9778853230586274,0.0067323270304012,0.9606026358448952,0.7695274,0.7625876,0.7623856,0.2445991992992892,0.12821499,0.017840087,490,381,364,57.54700854700855,64.5012417195119,0,0.8785284742230544,0.8785114686625262,0.8741986727758694,0.5691002041730215,0.1043230474376544,0.3422008365707211,36,18,18,0.4273504273504273,2.0366285725992697,0,26,27
10445832,11471323,2019-10-15,2022-10-18,fl:fr_ln:kmiec-1,fl:le_ln:rogers-6,0,0.9915727008957173,0.9914109019692494,0.9913868948346288,0.9433977905599834,0.0294897749634623,0.8905565618941363,0.48299783,0.4814108,0.47916773,0.2726055465618645,0.0881643,0.054933526,45,40,37,8.528622540250447,5.881247607069751,0,0.7850093795370066,0.7771531203130293,0.7769191847818229,0.448851927505924,0.1269445251485743,0.2013463205657514,96,16,10,0.3729874776386404,3.047839233112312,0,26,43
11477730,11477745,2022-10-18,2022-10-18,fl:lo_ln:verma-1,fl:lo_ln:verma-1,1,0.9904826554904914,0.9892061576062592,0.9891847534926752,0.9759896870636452,0.0086212541340629,0.9523035377368534,0.48987797,0.48837578,0.48668587,0.2413148126461439,0.09429833,0.04922476,121,101,100,19.966666666666665,19.93458747448208,0,0.7571195836485797,0.7534519313246121,0.745162288755146,0.5310052376190438,0.1247522953581853,0.2482041535361132,12,8,8,0.85,1.863315444159803,0,12,15
11477730,10401152,2022-10-18,2019-09-03,fl:lo_ln:verma-1,fl:ch_ln:nagura-1,0,0.9925575599482794,0.9916174458103644,0.9914923289071024,0.9765678643910152,0.0080369201765127,0.955196730928273,0.4145897,0.3969043,0.37559083,0.2120458188538368,0.08801658,0.020225497,106,79,56,13.442307692307692,14.118654864659618,0,0.8118960841796009,0.7953315324469482,0.7869458758369613,0.5626088317313322,0.1022878155997944,0.318192082009601,6,5,4,0.2692307692307692,0.8574421849849213,0,12,13
10467770,10443215,2019-11-05,2019-10-15,fl:sh_ln:sato-81,fl:sh_ln:sato-81,1,0.9902579041654664,0.9893140852978568,0.9892437201742386,0.9750964963826436,0.0078614070552087,0.9521457088354386,0.5083622,0.5028022,0.48751563,0.2356337072997121,0.08743838,0.051023792,59,55,51,10.296875,9.282341581431648,0,0.7960971237372995,0.7746173794768962,0.7651157753646926,0.5482123825987156,0.098613946605932,0.3180454927853202,43,28,12,0.498046875,2.5046823521761667,0,32,16
10467770,10397440,2019-11-05,2019-08-27,fl:sh_ln:sato-81,fl:yu_ln:kurokawa-12,0,0.9917342372352238,0.9907698673305304,0.990769021275745,0.9760871767359418,0.009200941036769,0.9443304092996404,0.45206985,0.44496804,0.43773845,0.2165490304569175,0.086819634,0.0071757245,88,72,64,8.47265625,9.317282453555649,0,0.8302584956606839,0.8084761826355394,0.8062184939184195,0.6202778198600845,0.0936109512793136,0.377566482786829,127,10,9,0.50390625,5.688872119428502,0,32,16
