patent_1_id,patent_2_id,patent_1_date,patent_2_date,patent_1_inventor,patent_2_inventor,is_same,top1,top2,top3,top4,top5,avg,std,worse
10470112,10470170,2019-11-05,2019-11-05,fl:al_ln:damnjanovic-1,fl:al_ln:damnjanovic-1,1,0.8106078920660078,0.7985584970112528,0.7934150891610063,0.7926936762094077,0.7861314711927451,0.6605576326129277,0.06967474330731839,0.4877880100907332
10470112,10405147,2019-11-05,2019-09-03,fl:al_ln:damnjanovic-1,fl:ri_ln:sillman-1,0,0.7560782260306028,0.75458219228853,0.7458725562605905,0.7420956560141533,0.7386926669144912,0.6420034517124504,0.06946972500246282,0.4343652297633278
11471530,11471531,2022-10-18,2022-10-18,fl:ja_ln:clube-1,fl:ja_ln:clube-1,1,0.9794927516226866,0.9460250926454613,0.9363435924799536,0.9279706546738329,0.9247812477866557,0.4130815566608005,0.18953673555480813,0.09191331713424891
11471530,11476326,2022-10-18,2022-10-18,fl:ja_ln:clube-1,fl:we_ln:ni-14,0,0.8283754591924545,0.7621280386821396,0.7402400138829701,0.7391420353514797,0.7095029647251544,0.3441852584705558,0.13542043384417768,0.06644217077467303
10397755,10448276,2019-08-27,2019-10-15,fl:la_ln:kim-13,fl:la_ln:kim-13,1,0.821465465551852,0.8081772557167635,0.8072117288809673,0.8043325252433959,0.8038854641633493,0.6596865543975784,0.07442127117825204,0.4523062783010816
10397755,11472222,2019-08-27,2022-10-18,fl:la_ln:kim-13,fl:ts_ln:nishida-4,0,0.8335719288961513,0.8283736793076497,0.8272553262811261,0.8271558523035005,0.8156782150874858,0.6601409151867772,0.0779987302624662,0.44603156916768655
11471151,10463366,2022-10-18,2019-11-05,fl:ch_ln:scheib-1,fl:ch_ln:scheib-1,1,0.8413611549738461,0.8250497911960455,0.8149348007810349,0.7936477621585606,0.7907712796662257,0.5883032653005233,0.07392688252200852,0.3776489987750545
11471151,11476927,2022-10-18,2022-10-18,fl:ch_ln:scheib-1,fl:mi_ln:kane-6,0,0.8246255915492848,0.8196762924314324,0.800215187517205,0.7948188202211459,0.7929144126856038,0.5964012154826733,0.07406631453383915,0.39882746118031615
10441257,10441256,2019-10-15,2019-10-15,fl:ra_ln:paul-8,fl:ra_ln:paul-8,1,0.8037688334178918,0.7976000545847775,0.7891521864096215,0.7817055039133203,0.7786460677254485,0.6815492293039717,0.05587978349237058,0.5266035346468911
10441257,10391853,2019-10-15,2019-08-27,fl:ra_ln:paul-8,fl:sh_ln:takemoto-19,0,0.7734211560430159,0.7665825400407767,0.7652530302639009,0.7643879493960117,0.7621377110234181,0.6087076002371427,0.07646253978690493,0.4146607548585507
10469901,11477501,2019-11-05,2022-10-18,fl:ve_ln:srinivasan-20,fl:ve_ln:srinivasan-20,1,0.7634564789416431,0.7587162630443457,0.7553777948000594,0.7511391871679882,0.7491093346071993,0.5209106387595495,0.13202838724285726,0.25662147381697237
10469901,10397968,2019-11-05,2019-08-27,fl:ve_ln:srinivasan-20,fl:la_ln:law-5,0,0.8300227474603407,0.8180740424380246,0.80623163600304,0.7973762144613633,0.7903400129179512,0.6181904045134194,0.09778898980292103,0.4212023074916526
10405285,11477731,2019-09-03,2022-10-18,fl:jo_ln:ahn-99,fl:jo_ln:ahn-99,1,0.8239388188867883,0.8203159314345349,0.8175865503286971,0.8173472829872773,0.8149393933109663,0.6976659379469228,0.06816181537079044,0.47736264079134166
10405285,10467603,2019-09-03,2019-11-05,fl:jo_ln:ahn-99,fl:ge_ln:liu-21,0,0.8071061873850137,0.7988562861799798,0.7966108799891563,0.7868382811204866,0.7860620244138146,0.6598576805851669,0.056994821109249874,0.5062316940478574
11476221,10405433,2022-10-18,2019-09-03,fl:ju_ln:costa-2,fl:ju_ln:costa-2,1,0.5522553314257713,0.5233625049146433,0.5216925326895357,0.5209477552730484,0.5182632918558144,0.3565763143924486,0.0662376448103453,0.22061531539698293
11476221,10446671,2022-10-18,2019-10-15,fl:ju_ln:costa-2,fl:sa_ln:okamoto-8,0,0.5585234995358679,0.5366021224773404,0.5327267050276862,0.5206983072405797,0.5179359332085884,0.35965533804698485,0.060121898243462785,0.22528203166995084
10398951,10391370,2019-09-03,2019-08-27,fl:jo_ln:hebreo-2,fl:jo_ln:hebreo-2,1,0.8830260492020348,0.83064659805671,0.8299730995234871,0.8225856012648685,0.8112567602508857,0.7015282965895009,0.04466781194205525,0.5715978268715708
10398951,11475005,2019-09-03,2022-10-18,fl:jo_ln:hebreo-2,fl:mi_ln:haubenschild-1,0,0.7808523086201862,0.7798262559538919,0.7773308938776803,0.7772945979614999,0.7763252757381791,0.6131643223009866,0.1363588373428759,0.08313572655183446
10396277,10403473,2019-08-27,2019-09-03,fl:jo_ln:park-601,fl:jo_ln:park-601,1,0.7785979904330579,0.7752939092691328,0.7746948147178677,0.7574577711174357,0.7549417813423946,0.6344005061309023,0.07600339323199844,0.39335002787344153
10396277,10391169,2019-08-27,2019-08-27,fl:jo_ln:park-601,fl:ra_ln:schatzman-2,0,0.7660880830580488,0.76410554474204,0.7624342100811338,0.76240314802853,0.7612877590494653,0.5816964658931142,0.08214507195547704,0.30887245738880836
11474965,10402340,2022-10-18,2019-09-03,fl:pe_ln:lea-1,fl:pe_ln:lea-1,1,0.5636450411120811,0.5474160688548654,0.5423490459847253,0.5399036637219761,0.539047628087151,0.3952816254222698,0.08374886162548499,0.2280935146855737
11474965,10397679,2022-10-18,2019-08-27,fl:pe_ln:lea-1,fl:ma_ln:norris-12,0,0.6781558803077075,0.6634592719975814,0.6594262473847888,0.636547251267066,0.6330662796156449,0.43406420311809263,0.10628495555406194,0.2309724611899736
11476361,11476352,2022-10-18,2022-10-18,fl:zi_ln:fang-14,fl:zi_ln:fang-14,1,0.6548688364714316,0.6340190776076289,0.6231835768594872,0.6228711681245864,0.62273263352371,0.5111708702394081,0.06563664481344121,0.3478398754791169
11476361,10470313,2022-10-18,2019-11-05,fl:zi_ln:fang-14,fl:ra_ln:henry-1,0,0.6698348346982055,0.6497469966238898,0.6413808004333996,0.6382800183606024,0.6325869514009953,0.5033032665658422,0.05475303429303877,0.4027303853469244
10401805,10401806,2019-09-03,2019-09-03,fl:co_ln:billings-1,fl:co_ln:billings-1,1,0.9982202168006823,0.9590370424823337,0.9237298412129916,0.9072469942005192,0.9072466306849546,0.7070695519283059,0.09415446155732371,0.4823346415669321
10401805,10467117,2019-09-03,2019-11-05,fl:co_ln:billings-1,fl:ma_ln:wilding-5,0,0.8302560478454079,0.8215235462769671,0.8181270473508181,0.812597632658268,0.808111434435051,0.6261164081875606,0.1032643786388522,0.3885015889980021
10395582,10395966,2019-08-27,2019-08-27,fl:ro_ln:cok-1,fl:ro_ln:cok-1,1,0.7058651030972909,0.6916075193545357,0.6861399119260546,0.6748170849158738,0.6664652558785366,0.5273168869594564,0.0628488115257801,0.35813505872244067
10395582,10403017,2019-08-27,2019-09-03,fl:ro_ln:cok-1,fl:zh_ln:du-80,0,0.7028103519457564,0.7022919220107391,0.7003223346619399,0.69658152164669,0.6928553708761345,0.5955645557309562,0.06313509456394405,0.4247989995687638
10469149,10469151,2019-11-05,2019-11-05,fl:ki_ln:kim-277,fl:ki_ln:kim-277,1,0.8948187866423482,0.8853377288522567,0.884013879652899,0.8719933231285646,0.8701404095430016,0.7110130708814338,0.06583177738405628,0.48247363239338364
10469149,10442330,2019-11-05,2019-10-15,fl:ki_ln:kim-277,fl:c._ln:parker-1,0,0.8459056243292052,0.8433786758464739,0.8373073965161423,0.8304482966475707,0.8267177020957814,0.6286487202401164,0.10017618127440504,0.30520270516674025
10396188,11477678,2019-08-27,2022-10-18,fl:xi_ln:li-414,fl:xi_ln:li-414,1,0.7027417159899373,0.7010648757242746,0.6957289842476778,0.6943197534464058,0.6932382749582379,0.46359064898747954,0.10810538109144782,0.2188542983800997
10396188,10394918,2019-08-27,2019-08-27,fl:xi_ln:li-414,fl:ry_ln:kurosawa-1,0,0.7217878423625852,0.7159612134877904,0.7144516186806905,0.7141877732213207,0.7054835278008106,0.48436855425744824,0.0876326851116664,0.3062125545298627
10395983,10468308,2019-08-27,2019-11-05,fl:ch_ln:lin-693,fl:ch_ln:lin-693,1,0.6757217391671408,0.6695519559980346,0.6551110088861856,0.6547441716817977,0.6490325858930428,0.5641793412357801,0.04069676438883947,0.4381438508917841
10395983,11472564,2019-08-27,2022-10-18,fl:ch_ln:lin-693,fl:kr_ln:shaner-1,0,0.6586196166582391,0.6581558315788384,0.6491340877882249,0.6419709815014841,0.6402664014683676,0.5753512797360366,0.04064437535746361,0.43514420426914574
10396962,10404423,2019-08-27,2019-09-03,fl:ha_ln:xu-47,fl:ha_ln:xu-47,1,0.7864657748747775,0.7844344555275874,0.782705303579539,0.7790217200293089,0.7700200690190978,0.587320688121373,0.09772789109297486,0.306517803546752
