patent_1_id,patent_2_id,patent_1_date,patent_2_date,patent_1_inventor,patent_2_inventor,is_same,top1,top2,top3,top4,top5,avg,std,worse
11475623,10444817,2022-10-18,2019-10-15,fl:ab_ln:appu-1,fl:ab_ln:appu-1,1,0.7815236160418149,0.7699622355046073,0.7465817644451503,0.7391314126522512,0.7390138426019028,0.5049952756680717,0.07964044665287451,0.3132714595831229
11475623,10395623,2022-10-18,2019-08-27,fl:ab_ln:appu-1,fl:ab_ln:appu-1,1,0.748922307894603,0.7413261653579415,0.7212956336604385,0.7178122631033811,0.7051246680178945,0.5118435492152491,0.073441246063981,0.3367299463070439
11475623,10467796,2022-10-18,2019-11-05,fl:ab_ln:appu-1,fl:ab_ln:appu-1,1,0.7534829787072644,0.7239801596755329,0.7225853821866852,0.7176867758019789,0.7103945668945063,0.49662775070524473,0.07876058843885603,0.3103311211099357
11475623,10402933,2022-10-18,2019-09-03,fl:ab_ln:appu-1,fl:ab_ln:appu-1,1,0.7649231253083344,0.7558486908270046,0.7433474616820274,0.7315235144880602,0.725533598190342,0.5052660039960419,0.07899997191161127,0.32183115383448496
11475623,11473533,2022-10-18,2022-10-18,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0,0.6574444082420136,0.6392167113085666,0.6244414819691364,0.621854925336001,0.6166521152404526,0.46509178935465584,0.06472310291390194,0.3133832408565351
11475623,10444767,2022-10-18,2019-10-15,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0,0.7667936105043133,0.7427495740705784,0.7253126179295472,0.7245975480434498,0.7238095827489234,0.553233125320719,0.07553264181214586,0.4110124370687548
11475623,10393071,2022-10-18,2019-08-27,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0,0.6908914037886407,0.6825803436849064,0.6813509441499421,0.6797504588598036,0.6707789413778019,0.531594643415061,0.07123071013810808,0.3528222646874278
11475623,10464564,2022-10-18,2019-11-05,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0,0.7112003448354282,0.71117743745718,0.6865645254407229,0.6841086893025348,0.6817103468972624,0.5267029943226288,0.06921238885735552,0.3636529952496019
11475623,10401853,2022-10-18,2019-09-03,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0,0.7112683457617592,0.7081241031791352,0.6864775025789936,0.6833767859513157,0.6795329009985366,0.5198149656532763,0.07277104856387823,0.3443371393343114
11475623,11477488,2022-10-18,2022-10-18,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0,0.7241340493472326,0.7011990915451635,0.6988844059378507,0.6975497278967111,0.6949297830116145,0.5419470031089957,0.06952673929672111,0.3762455464843193
11475623,10448039,2022-10-18,2019-10-15,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0,0.7662865969148372,0.7633924531054985,0.7613229155287896,0.7593315732682652,0.7302965328664325,0.5674604711197039,0.0730959064534124,0.4076939178689547
11475623,10397580,2022-10-18,2019-08-27,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0,0.763475821621439,0.7620114360647374,0.7537873734733262,0.7534910893494821,0.749659448409277,0.5850364352977704,0.07362823424385226,0.4081866203812042
11475623,10469862,2022-10-18,2019-11-05,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0,0.781824397517861,0.763697808786621,0.7540218436313569,0.7522271686654368,0.7405101336301531,0.5800928503107438,0.07613457809023486,0.4217104705188278
11475623,10402674,2022-10-18,2019-09-03,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0,0.8011392162386278,0.8009201288980365,0.7900742026763373,0.7792461991485451,0.7728024980409068,0.5937816897136855,0.07607102260541276,0.40871019740655545
11475623,11477598,2022-10-18,2022-10-18,fl:ab_ln:appu-1,fl:ar_ln:lehtiniemi-2,0,0.7341963582198165,0.7304767732054456,0.7163420503177679,0.7104152652883068,0.7102680975376757,0.522455091413857,0.08984404252554998,0.32687126026301183
11475623,10448186,2022-10-18,2019-10-15,fl:ab_ln:appu-1,fl:ar_ln:lehtiniemi-2,0,0.7508147248406989,0.7362249804142017,0.7263887178785973,0.7252197487741997,0.7190993637567655,0.551123782459236,0.07289131153024184,0.3683513903212956
11475623,10397722,2022-10-18,2019-08-27,fl:ab_ln:appu-1,fl:ar_ln:lehtiniemi-2,0,0.8031799216597929,0.7669891496953357,0.7509169497837574,0.7469822525828659,0.7450209307842667,0.5713213879882902,0.07325768323588283,0.4128762118246427
11475623,10466063,2022-10-18,2019-11-05,fl:ab_ln:appu-1,fl:ar_ln:lehtiniemi-2,0,0.7643814493192967,0.7551271429467128,0.741507016150272,0.7343432096301237,0.7321648506645994,0.5491098499033206,0.07785355353806024,0.3809725355604053
