patent_1_id,patent_2_id,patent_1_date,patent_2_date,patent_1_inventor,patent_2_inventor,is_same,LBP,HOG,SIFT,SSIM
10391279,10391588,2019-08-27,2019-08-27,fl:ba_ln:bian-1,fl:s._ln:hosseini-2,0,0.9866490331591337,0.12647118,35,0.7630004081161187
10467809,10403049,2019-11-05,2019-09-03,fl:mo_ln:khalid-3,fl:mo_ln:khalid-3,1,0.9821937395446326,0.1357508,2486,0.7019663170077097
10467809,10396317,2019-11-05,2019-08-27,fl:mo_ln:khalid-3,fl:hy_ln:park-281,0,0.9878090853300286,0.13662171,19,0.7750861553747735
10469150,10404430,2019-11-05,2019-09-03,fl:ji_ln:liu-672,fl:ji_ln:liu-672,1,0.9976686748156469,0.018232742,208,0.9249326212921167
10469150,10470140,2019-11-05,2019-11-05,fl:ji_ln:liu-672,fl:sr_ln:balasubramanian-4,0,0.9909681302999932,0.08847272,11,0.7864846151045649
10446793,11477765,2019-10-15,2022-10-18,fl:se_ln:lee-699,fl:se_ln:lee-699,1,0.9706563391058277,0.20944405,520,0.6740829572581132
10446793,11475820,2019-10-15,2022-10-18,fl:se_ln:lee-699,fl:pa_ln:volkert-1,0,0.9822199071947741,0.114415936,3,0.7326911433815613
10404404,11476902,2019-09-03,2022-10-18,fl:se_ln:faxer-1,fl:se_ln:faxer-1,1,0.9855056302443251,0.14988256,1931,0.6871763931629302
10404404,11477833,2019-09-03,2022-10-18,fl:se_ln:faxer-1,fl:gy_ln:miklos-2,0,0.9881453731689791,0.16651143,35,0.724964627710979
10403905,10448360,2019-09-03,2019-10-15,fl:yu_ln:yang-363,fl:yu_ln:yang-363,1,0.9650550177344658,0.41674486,2979,0.615753417711601
10403905,10447473,2019-09-03,2019-10-15,fl:yu_ln:yang-363,fl:th_ln:strohm-1,0,0.9782267542097363,0.058057733,157,0.7019799127828419
11471917,10399236,2022-10-18,2019-09-03,fl:jo_ln:romano-14,fl:jo_ln:romano-14,1,0.9770831890606171,0.14599709,4497,0.6793160322607814
11471917,10441345,2022-10-18,2019-10-15,fl:jo_ln:romano-14,fl:ro_ln:laird-3,0,0.9818540201294265,0.13573496,113,0.6976836777527837
10447096,10468947,2019-10-15,2019-11-05,fl:ak_ln:daikoku-2,fl:ak_ln:daikoku-2,1,0.9868408172178192,0.10213255,1534,0.7247760807337745
10447096,10442921,2019-10-15,2019-10-15,fl:ak_ln:daikoku-2,fl:fa_ln:sibtain-1,0,0.9885179619566383,0.1318457,26,0.7203156784034311
10396145,10443046,2019-08-27,2019-10-15,fl:du_ln:ramaswamy-2,fl:du_ln:ramaswamy-2,1,0.9624684996322302,0.14779948,2961,0.4862828319550038
10396145,10398826,2019-08-27,2019-09-03,fl:du_ln:ramaswamy-2,fl:ri_ln:lasher-1,0,0.9690022034179782,0.16841117,130,0.5597557750320963
10404414,10447304,2019-09-03,2019-10-15,fl:na_ln:hur-3,fl:na_ln:hur-3,1,0.9842831414542292,0.24244042,2576,0.6457970616676666
10404414,10467191,2019-09-03,2019-11-05,fl:na_ln:hur-3,fl:we_ln:yu-127,0,0.9813377327969973,0.22925599,88,0.6004273955736036
11476434,10396306,2022-10-18,2019-08-27,fl:eu_ln:jang-26,fl:eu_ln:jang-26,1,0.9888678814102325,0.05986151,906,0.697913075018083
11476434,10465242,2022-10-18,2019-11-05,fl:eu_ln:jang-26,fl:je_ln:heemstra-1,0,0.9850494798273287,0.04280336,22,0.7309988328643438
11477477,10448032,2022-10-18,2019-10-15,fl:ma_ln:karczewicz-1,fl:ma_ln:karczewicz-1,1,0.9940645794642688,0.020904215,517,0.8605800196464364
11477477,10403897,2022-10-18,2019-09-03,fl:ma_ln:karczewicz-1,fl:th_ln:langer-2,0,0.988196826073656,0.04556034,36,0.8239040400858426
11475918,11475917,2022-10-18,2022-10-18,fl:ya_ln:kobayashi-27,fl:ya_ln:kobayashi-27,1,0.9731336266326447,0.24927625,3452,0.5121212551945661
11475918,10395479,2022-10-18,2019-08-27,fl:ya_ln:kobayashi-27,fl:ca_ln:ross-24,0,0.9792463237933291,0.20789424,157,0.5764774099890609
10400364,10400366,2019-09-03,2019-09-03,fl:da_ln:sunshine-2,fl:da_ln:sunshine-2,1,0.9944314478472298,0.25551188,1122,0.8756781876010098
10400364,10442528,2019-09-03,2019-10-15,fl:da_ln:sunshine-2,fl:ol_ln:essinger-1,0,0.9865584818673658,0.10053027,249,0.7830784877745726
10466803,11474275,2019-11-05,2022-10-18,fl:ma_ln:olsson-21,fl:ma_ln:olsson-21,1,0.9861326357643528,0.26309857,1538,0.6339577455104747
10466803,11471620,2019-11-05,2022-10-18,fl:ma_ln:olsson-21,fl:iv_ln:soriano-1,0,0.9862960321780334,0.14200585,85,0.6949971653244914
10397908,10448412,2019-08-27,2019-10-15,fl:jo_ln:ahn-99,fl:jo_ln:ahn-99,1,0.9864399628927082,0.12651002,849,0.6935155759674712
10397908,10469832,2019-08-27,2019-11-05,fl:jo_ln:ahn-99,fl:ni_ln:trail-1,0,0.9871420610191551,0.16143574,31,0.7151575919535154
10448025,10448011,2019-10-15,2019-10-15,fl:sh_ln:liu-448,fl:sh_ln:liu-448,1,0.9906410853023976,0.0865802,415,0.7992133767920476
