patent_1_id,patent_2_id,patent_1_date,patent_2_date,patent_1_inventor,patent_2_inventor,is_same,LBP_top1,LBP_top2,LBP_top3,LBP_avg,LBP_std,LBP_worse,HOG_top1,HOG_top2,HOG_top3,HOG_avg,HOG_std,HOG_worse,SIFT_top1,SIFT_top2,SIFT_top3,SIFT_avg,SIFT_std,SIFT_worse,SSIM_top1,SSIM_top2,SSIM_top3,SSIM_avg,SSIM_std,SSIM_worse
10470112,10470170,2019-11-05,2019-11-05,fl:al_ln:damnjanovic-1,fl:al_ln:damnjanovic-1,1,0.9852229546867332,0.9838874359472395,0.9857966025465018,0.9822076590447332,0.004102022445951493,0.9719307634800246,0.12976703,0.17517926,0.15950315,0.22313257324448704,0.07415574,0.34971097,203,8,77,51.585798816568044,121.22303289248225,637,0.6691464752089097,0.6460254826462687,0.6782689710154512,0.6201829612850391,0.08512863159424995,0.4150362710611338
10470112,10405147,2019-11-05,2019-09-03,fl:al_ln:damnjanovic-1,fl:ri_ln:sillman-1,0,0.9823911233712969,0.97681634781981,0.981435505440771,0.9815994455130924,0.003854744109448532,0.9788708990425793,0.20396553,0.24114421,0.23734792,0.23308289051055908,0.07523071,0.23007126,10,3,3,5.839160839160839,5.525086272338931,24,0.6050472137754329,0.5279495025452972,0.660528425033183,0.6258045992935239,0.07224704138024997,0.5454864685862206
11471530,11471531,2022-10-18,2022-10-18,fl:ja_ln:clube-1,fl:ja_ln:clube-1,1,0.9934965754674921,0.9735569373685262,0.9818278357621991,0.9172543801237681,0.04674639865319977,0.9308049774109872,0.00355517,0.10422321,0.037750002,0.3110747120602423,0.15059425,0.2680811,152,31,28,79.47368421052632,187.5167213227217,863,0.895126532705082,0.6989601495728097,0.7588460213913294,0.4243066260597662,0.14923610575930252,0.46859928364604847
11471530,11476326,2022-10-18,2022-10-18,fl:ja_ln:clube-1,fl:we_ln:ni-14,0,0.9669461974978961,0.9635255509861577,0.9662588204481576,0.9292519024955583,0.03522734813091707,0.93779747131656,0.11898912,0.10706809,0.11475226,0.3290340798465829,0.12221832,0.36987615,2,2,5,15.924812030075188,18.10244755332294,9,0.5215844545354846,0.49512488068646,0.47004478351638695,0.3599839763702162,0.11787685463231852,0.3819446896217382
10397755,10448276,2019-08-27,2019-10-15,fl:la_ln:kim-13,fl:la_ln:kim-13,1,0.9779144122812642,0.9830672986962521,0.9760249624773653,0.9806599789455959,0.004620032360388736,0.9741379233664197,0.2233123,0.17381369,0.2930736,0.23417970795728288,0.0666985,0.30599087,554,17,62,40.7860422405877,82.90540898612754,439,0.5812121270687444,0.6441734757046282,0.5137132255189155,0.594877523035129,0.07825094881557285,0.4761326059259429
10397755,11472222,2019-08-27,2022-10-18,fl:la_ln:kim-13,fl:ts_ln:nishida-4,0,0.9826831122716828,0.9839963351296056,0.9830298413146161,0.9815749052410623,0.005927183138438942,0.9743202901115074,0.08422566,0.166501,0.10968587,0.15576842950705758,0.060125165,0.24162723,9,7,3,5.15771349862259,4.786119997886639,3,0.6527989097706803,0.6712136055709143,0.6416797193469622,0.6379757512177042,0.08163656243754544,0.554881460881569
11471151,10463366,2022-10-18,2019-11-05,fl:ch_ln:scheib-1,fl:ch_ln:scheib-1,1,0.9725358412290646,0.9700048944816975,0.9341698275737419,0.9677770412164487,0.012049304188539996,0.9696454501551804,0.32079932,0.24805585,0.39365146,0.2345544213026762,0.07727438,0.29141948,1207,49,5,42.5696,138.4877133750139,601,0.5347396202306024,0.5286616919510297,0.40019193786730783,0.5271834116568956,0.08504472373230859,0.5145644784669442
11471151,11476927,2022-10-18,2022-10-18,fl:ch_ln:scheib-1,fl:mi_ln:kane-6,0,0.9793425515558374,0.9740740182154005,0.9776637487364556,0.9758850288819688,0.008978443778271585,0.9781506166191715,0.24365999,0.22201493,0.26337555,0.19172027251937174,0.054569937,0.21715221,105,37,88,15.112727272727273,14.813446650016754,17,0.6142901240830625,0.525502223305599,0.5748623524876273,0.5852693889359982,0.07449992329621825,0.5950198829814829
10441257,10441256,2019-10-15,2019-10-15,fl:ra_ln:paul-8,fl:ra_ln:paul-8,1,0.973794514585725,0.9778543112471668,0.9716079604185353,0.9749195710999686,0.006060314645888393,0.9715548014267938,0.10856305,0.14033529,0.17544805,0.15494363411562517,0.052300084,0.10665103,307,84,52,65.421875,88.42096659720688,293,0.6926125309271538,0.7318462325152881,0.6658541608007414,0.6738026938247871,0.057395902246415685,0.6754495163362475
10441257,10391853,2019-10-15,2019-08-27,fl:ra_ln:paul-8,fl:sh_ln:takemoto-19,0,0.9683366762985485,0.9805415189979981,0.9629035368037396,0.9694806003835542,0.008109151530899904,0.954976843101269,0.2406801,0.12384844,0.2222798,0.2128942009128098,0.055237487,0.2921187,7,6,7,9.982142857142858,6.59813575248064,3,0.5920655898309035,0.7312130069024552,0.5344356670693401,0.6008021046460602,0.07632728236880827,0.4915668067179021
